left_city,left_source,right_city,right_source,dist,cnt_in_group,left_city:1,left_source:1,right_city:1,right_source:1,dist:1,cnt_in_group:1,chamfer_dist
Abu Dhabi,dalle,Abu Dhabi,dalle,5.332234665751457,20,Abu Dhabi,dalle,Abu Dhabi,dalle,5.332234665751457,20,0.26661173328757287
Abu Dhabi,google,Abu Dhabi,dalle,14.505182355642319,30,Abu Dhabi,dalle,Abu Dhabi,google,8.194107443094254,20,0.45398579597473143
Almaty,dalle,Abu Dhabi,dalle,9.10558757185936,20,Abu Dhabi,dalle,Almaty,dalle,7.588198125362396,20,0.4173446424305439
Almaty,google,Abu Dhabi,dalle,14.865473568439484,30,Abu Dhabi,dalle,Almaty,google,8.740032851696014,20,0.47211012840270994
Amsterdam,dalle,Abu Dhabi,dalle,8.463754504919052,20,Abu Dhabi,dalle,Amsterdam,dalle,8.213115990161896,20,0.4169217623770237
Amsterdam,google,Abu Dhabi,dalle,16.337317496538162,30,Abu Dhabi,dalle,Amsterdam,google,9.483843445777893,20,0.5164232188463211
Athens,dalle,Abu Dhabi,dalle,9.20888638496399,20,Abu Dhabi,dalle,Athens,dalle,8.26964008808136,20,0.4369631618261337
Athens,google,Abu Dhabi,dalle,14.168647080659866,30,Abu Dhabi,dalle,Athens,google,7.578270703554153,20,0.4349383556842804
Auckland,dalle,Abu Dhabi,dalle,8.42472118139267,20,Abu Dhabi,dalle,Auckland,dalle,7.868490993976593,20,0.40733030438423157
Auckland,google,Abu Dhabi,dalle,13.491729319095612,30,Abu Dhabi,dalle,Auckland,google,7.298573613166809,20,0.4158060586452484
Bangkok,dalle,Abu Dhabi,dalle,9.240775495767593,20,Abu Dhabi,dalle,Bangkok,dalle,8.597224086523056,20,0.4459499895572662
Bangkok,google,Abu Dhabi,dalle,14.895164489746094,30,Abu Dhabi,dalle,Bangkok,google,8.560365945100784,20,0.46911060869693755
Barcelona,dalle,Abu Dhabi,dalle,8.995858937501907,20,Abu Dhabi,dalle,Barcelona,dalle,8.450859606266022,20,0.43616796359419824
Barcelona,google,Abu Dhabi,dalle,16.305284529924393,30,Abu Dhabi,dalle,Barcelona,google,9.103818833827972,20,0.5081820672750473
Beijing,dalle,Abu Dhabi,dalle,9.374047994613647,20,Abu Dhabi,dalle,Beijing,dalle,8.330900341272354,20,0.44262370839715004
Beijing,google,Abu Dhabi,dalle,15.739142745733261,30,Abu Dhabi,dalle,Beijing,google,8.908330768346786,20,0.49294947028160097
Berlin,dalle,Abu Dhabi,dalle,8.869178533554077,20,Abu Dhabi,dalle,Berlin,dalle,7.651308685541153,20,0.41301218047738075
Berlin,google,Abu Dhabi,dalle,15.55451500415802,33,Abu Dhabi,dalle,Berlin,google,7.999362677335739,20,0.4444127864432785
Bogota,dalle,Abu Dhabi,dalle,9.003261506557465,20,Abu Dhabi,dalle,Bogota,dalle,7.946598470211029,20,0.42374649941921233
Bogota,google,Abu Dhabi,dalle,17.052606523036957,30,Abu Dhabi,dalle,Bogota,google,8.684172838926315,20,0.5147355872392655
Brussels,dalle,Abu Dhabi,dalle,8.235241681337357,20,Abu Dhabi,dalle,Brussels,dalle,8.113056421279907,20,0.4087074525654316
Brussels,google,Abu Dhabi,dalle,15.222378492355347,30,Abu Dhabi,dalle,Brussels,google,8.115967184305191,20,0.46676691353321076
Bucharest,dalle,Abu Dhabi,dalle,8.606605023145676,20,Abu Dhabi,dalle,Bucharest,dalle,7.921708196401596,20,0.4132078304886818
Bucharest,google,Abu Dhabi,dalle,15.854767858982086,31,Abu Dhabi,dalle,Bucharest,google,8.63247537612915,20,0.4801420242178674
Budapest,dalle,Abu Dhabi,dalle,8.98374792933464,20,Abu Dhabi,dalle,Budapest,dalle,8.636917144060135,20,0.44051662683486936
Budapest,google,Abu Dhabi,dalle,15.165793061256409,30,Abu Dhabi,dalle,Budapest,google,8.355505406856537,20,0.4704259693622589
Buenos Aires,dalle,Abu Dhabi,dalle,9.061491698026657,20,Abu Dhabi,dalle,Buenos Aires,dalle,8.89292448759079,20,0.4488604046404362
Buenos Aires,google,Abu Dhabi,dalle,16.038129061460495,30,Abu Dhabi,dalle,Buenos Aires,google,8.385375499725342,20,0.48847009122371676
Busan,dalle,Abu Dhabi,dalle,10.539759755134583,20,Abu Dhabi,dalle,Busan,dalle,9.513442069292068,20,0.5013300456106663
Busan,google,Abu Dhabi,dalle,15.183074980974197,30,Abu Dhabi,dalle,Busan,google,8.665141433477402,20,0.47696432828903196
Cairo,dalle,Abu Dhabi,dalle,8.943463176488876,20,Abu Dhabi,dalle,Cairo,dalle,8.240420192480087,20,0.4295970842242241
Cairo,google,Abu Dhabi,dalle,17.12538069486618,32,Abu Dhabi,dalle,Cairo,google,9.403704732656479,20,0.5101747197600511
Caracas,dalle,Abu Dhabi,dalle,8.989390045404434,20,Abu Dhabi,dalle,Caracas,dalle,8.816378623247147,20,0.4451442167162895
Caracas,google,Abu Dhabi,dalle,15.42523604631424,30,Abu Dhabi,dalle,Caracas,google,8.42605447769165,20,0.4770258104801178
Chicago,dalle,Abu Dhabi,dalle,8.542870879173279,20,Abu Dhabi,dalle,Chicago,dalle,7.991206645965576,20,0.4133519381284714
Chicago,google,Abu Dhabi,dalle,15.112198054790497,30,Abu Dhabi,dalle,Chicago,google,7.342240869998932,20,0.4490887784957886
Copenhagen,dalle,Abu Dhabi,dalle,8.459626406431198,20,Abu Dhabi,dalle,Copenhagen,dalle,7.868788719177246,20,0.4082103781402111
Copenhagen,google,Abu Dhabi,dalle,14.003201514482498,30,Abu Dhabi,dalle,Copenhagen,google,7.500091344118118,20,0.43006585717201234
Delhi,dalle,Abu Dhabi,dalle,8.837172031402588,20,Abu Dhabi,dalle,Delhi,dalle,8.145087838172913,20,0.4245564967393875
Delhi,google,Abu Dhabi,dalle,14.044869840145111,30,Abu Dhabi,dalle,Delhi,google,7.389832943677901,20,0.42869405567646024
Dubai,dalle,Abu Dhabi,dalle,7.207632124423981,20,Abu Dhabi,dalle,Dubai,dalle,6.491471767425537,20,0.34247759729623795
Dubai,google,Abu Dhabi,dalle,14.447552919387817,30,Abu Dhabi,dalle,Dubai,google,7.892534792423248,20,0.4468017542362213
Dublin,dalle,Abu Dhabi,dalle,8.579427778720856,20,Abu Dhabi,dalle,Dublin,dalle,8.70838177204132,20,0.4321952387690544
Dublin,google,Abu Dhabi,dalle,13.796673744916916,30,Abu Dhabi,dalle,Dublin,google,7.725027114152908,20,0.4304340171813965
Helsinki,dalle,Abu Dhabi,dalle,8.587466269731522,20,Abu Dhabi,dalle,Helsinki,dalle,8.16288885474205,20,0.4187588781118393
Helsinki,google,Abu Dhabi,dalle,13.80914381146431,30,Abu Dhabi,dalle,Helsinki,google,7.894611686468124,20,0.4340751099586487
Ho Chi Minh City,dalle,Abu Dhabi,dalle,9.133023411035538,20,Abu Dhabi,dalle,Ho Chi Minh City,dalle,7.2713035345077515,20,0.4101081736385822
Ho Chi Minh City,google,Abu Dhabi,dalle,16.98547261953354,32,Abu Dhabi,dalle,Ho Chi Minh City,google,7.998004227876663,20,0.48045147783481157
Hong Kong,dalle,Abu Dhabi,dalle,9.161749452352524,20,Abu Dhabi,dalle,Hong Kong,dalle,8.716300964355469,20,0.44695126041769984
Hong Kong,google,Abu Dhabi,dalle,16.49519917368889,30,Abu Dhabi,dalle,Hong Kong,google,8.407485336065292,20,0.4980536901950836
Istanbul,dalle,Abu Dhabi,dalle,8.228961527347565,20,Abu Dhabi,dalle,Istanbul,dalle,7.578969448804855,20,0.3951982744038105
Istanbul,google,Abu Dhabi,dalle,13.251673400402069,30,Abu Dhabi,dalle,Istanbul,google,7.276708334684372,20,0.4105676347017288
Jakarta,dalle,Abu Dhabi,dalle,8.840255349874496,20,Abu Dhabi,dalle,Jakarta,dalle,7.206107258796692,20,0.4011590652167797
Jakarta,google,Abu Dhabi,dalle,15.504957675933838,30,Abu Dhabi,dalle,Jakarta,google,8.523423850536346,20,0.4805676305294037
Johannesburg,dalle,Abu Dhabi,dalle,8.6179618537426,20,Abu Dhabi,dalle,Johannesburg,dalle,8.409611582756042,20,0.42568933591246605
Johannesburg,google,Abu Dhabi,dalle,14.988050788640976,30,Abu Dhabi,dalle,Johannesburg,google,8.532697767019272,20,0.47041497111320496
Kobe,dalle,Abu Dhabi,dalle,9.126886457204819,20,Abu Dhabi,dalle,Kobe,dalle,8.051893055438995,20,0.42946948781609534
Kobe,google,Abu Dhabi,dalle,14.296116054058075,30,Abu Dhabi,dalle,Kobe,google,8.32440260052681,20,0.4524103730916977
Kyoto,dalle,Abu Dhabi,dalle,9.368290543556213,20,Abu Dhabi,dalle,Kyoto,dalle,8.821114510297775,20,0.4547351263463497
Kyoto,google,Abu Dhabi,dalle,15.549960345029831,30,Abu Dhabi,dalle,Kyoto,google,8.827125906944275,20,0.4875417250394821
Lagos,dalle,Abu Dhabi,dalle,8.053614854812622,20,Abu Dhabi,dalle,Lagos,dalle,7.508381515741348,20,0.38904990926384925
Lagos,google,Abu Dhabi,dalle,15.02441731095314,30,Abu Dhabi,dalle,Lagos,google,7.8272556364536285,20,0.45703345894813535
Lisbon,dalle,Abu Dhabi,dalle,8.867498755455017,20,Abu Dhabi,dalle,Lisbon,dalle,8.558982759714127,20,0.4356620378792286
Lisbon,google,Abu Dhabi,dalle,15.486553430557251,30,Abu Dhabi,dalle,Lisbon,google,8.969047546386719,20,0.4891120195388794
London,dalle,Abu Dhabi,dalle,9.296538919210434,20,Abu Dhabi,dalle,London,dalle,8.022095173597336,20,0.43296585232019424
London,google,Abu Dhabi,dalle,14.198267459869385,30,Abu Dhabi,dalle,London,google,7.9127357006073,20,0.44222006320953366
Los Angeles,dalle,Abu Dhabi,dalle,8.67362093925476,20,Abu Dhabi,dalle,Los Angeles,dalle,7.801691979169846,20,0.4118828229606152
Los Angeles,google,Abu Dhabi,dalle,15.363701432943344,30,Abu Dhabi,dalle,Los Angeles,google,8.60160967707634,20,0.47930622220039365
Madrid,dalle,Abu Dhabi,dalle,8.454506993293762,20,Abu Dhabi,dalle,Madrid,dalle,8.392273128032684,20,0.42116950303316114
Madrid,google,Abu Dhabi,dalle,15.772409170866013,30,Abu Dhabi,dalle,Madrid,google,9.086712062358856,20,0.49718242466449736
Manila,dalle,Abu Dhabi,dalle,8.707979261875153,20,Abu Dhabi,dalle,Manila,dalle,7.491616308689117,20,0.40498988926410673
Manila,google,Abu Dhabi,dalle,14.623049795627594,30,Abu Dhabi,dalle,Manila,google,8.756755262613297,20,0.4675961011648178
Melbourne,dalle,Abu Dhabi,dalle,9.347615659236908,20,Abu Dhabi,dalle,Melbourne,dalle,8.615857124328613,20,0.44908681958913804
Melbourne,google,Abu Dhabi,dalle,14.495209336280823,30,Abu Dhabi,dalle,Melbourne,google,8.486496448516846,20,0.45963411569595336
Mexico City,dalle,Abu Dhabi,dalle,8.692573308944702,20,Abu Dhabi,dalle,Mexico City,dalle,7.972268044948578,20,0.416621033847332
Mexico City,google,Abu Dhabi,dalle,15.435245156288147,30,Abu Dhabi,dalle,Mexico City,google,8.448824524879456,20,0.47768139362335205
Milan,dalle,Abu Dhabi,dalle,8.563390851020813,20,Abu Dhabi,dalle,Milan,dalle,7.868933588266373,20,0.4108081109821796
Milan,google,Abu Dhabi,dalle,14.757232695817947,30,Abu Dhabi,dalle,Milan,google,8.431699931621552,20,0.46377865254878997
Montreal,dalle,Abu Dhabi,dalle,8.243023723363876,20,Abu Dhabi,dalle,Montreal,dalle,7.52506560087204,20,0.3942022331058979
Montreal,google,Abu Dhabi,dalle,15.30031567811966,30,Abu Dhabi,dalle,Montreal,google,8.106327533721924,20,0.46813286423683165
Moscow,dalle,Abu Dhabi,dalle,8.337237060070038,20,Abu Dhabi,dalle,Moscow,dalle,7.9469263553619385,20,0.4071040853857994
Moscow,google,Abu Dhabi,dalle,14.120664775371552,30,Abu Dhabi,dalle,Moscow,google,8.033706426620483,20,0.4430874240398407
Mumbai,dalle,Abu Dhabi,dalle,8.815172970294952,20,Abu Dhabi,dalle,Mumbai,dalle,7.814655005931854,20,0.4157456994056702
Mumbai,google,Abu Dhabi,dalle,14.531497329473495,30,Abu Dhabi,dalle,Mumbai,google,8.000770032405853,20,0.450645347237587
Munich,dalle,Abu Dhabi,dalle,9.032179147005081,20,Abu Dhabi,dalle,Munich,dalle,8.17766860127449,20,0.4302461937069893
Munich,google,Abu Dhabi,dalle,14.977074891328812,30,Abu Dhabi,dalle,Munich,google,7.840621531009674,20,0.4563539284467697
New York,dalle,Abu Dhabi,dalle,19.470154136419296,40,Abu Dhabi,dalle,New York,dalle,8.74532201886177,20,0.4702579359213511
New York,google,Abu Dhabi,dalle,14.176519393920898,30,Abu Dhabi,dalle,New York,google,7.35115921497345,20,0.430553572177887
Osaka,dalle,Abu Dhabi,dalle,9.396464377641678,20,Abu Dhabi,dalle,Osaka,dalle,8.268750637769699,20,0.44163037538528443
Osaka,google,Abu Dhabi,dalle,14.904218137264252,30,Abu Dhabi,dalle,Osaka,google,9.057690620422363,20,0.4792381751537323
Oslo,dalle,Abu Dhabi,dalle,7.974330008029938,20,Abu Dhabi,dalle,Oslo,dalle,7.680593281984329,20,0.39137308225035666
Oslo,google,Abu Dhabi,dalle,13.820376753807068,30,Abu Dhabi,dalle,Oslo,google,8.290327906608582,20,0.442214093208313
Paris,dalle,Abu Dhabi,dalle,9.159681111574173,20,Abu Dhabi,dalle,Paris,dalle,8.510325700044632,20,0.44175017029047015
Paris,google,Abu Dhabi,dalle,15.258439064025879,30,Abu Dhabi,dalle,Paris,google,8.597314417362213,20,0.47711506962776185
Prague,dalle,Abu Dhabi,dalle,9.198757946491241,20,Abu Dhabi,dalle,Prague,dalle,8.522498279809952,20,0.44303140565752985
Prague,google,Abu Dhabi,dalle,14.714611887931824,30,Abu Dhabi,dalle,Prague,google,8.22484603524208,20,0.45878915846347806
Rio de Janeiro,dalle,Abu Dhabi,dalle,9.140759110450745,20,Abu Dhabi,dalle,Rio de Janeiro,dalle,8.055897980928421,20,0.42991642728447915
Rio de Janeiro,google,Abu Dhabi,dalle,16.622985422611237,30,Abu Dhabi,dalle,Rio de Janeiro,google,9.326626718044281,20,0.5189922428131104
Rome,dalle,Abu Dhabi,dalle,9.220287561416626,20,Abu Dhabi,dalle,Rome,dalle,8.36719074845314,20,0.43968695774674416
Rome,google,Abu Dhabi,dalle,14.980902045965195,30,Abu Dhabi,dalle,Rome,google,8.349026560783386,20,0.46659857213497163
Santiago,dalle,Abu Dhabi,dalle,8.984779119491577,20,Abu Dhabi,dalle,Santiago,dalle,8.518502682447433,20,0.43758204504847525
Santiago,google,Abu Dhabi,dalle,13.695160925388336,30,Abu Dhabi,dalle,Santiago,google,7.884391218423843,20,0.4315910428762436
Seoul,dalle,Abu Dhabi,dalle,9.178639769554138,20,Abu Dhabi,dalle,Seoul,dalle,9.110202878713608,20,0.45722106620669367
Seoul,google,Abu Dhabi,dalle,15.892832458019257,30,Abu Dhabi,dalle,Seoul,google,8.963802635669708,20,0.4971327018737793
Shanghai,dalle,Abu Dhabi,dalle,8.307783275842667,20,Abu Dhabi,dalle,Shanghai,dalle,7.63863942027092,20,0.39866056740283967
Shanghai,google,Abu Dhabi,dalle,15.270612955093384,30,Abu Dhabi,dalle,Shanghai,google,8.295403778553009,20,0.47132033467292783
Shenzhen,dalle,Abu Dhabi,dalle,8.271255940198898,20,Abu Dhabi,dalle,Shenzhen,dalle,7.809012800455093,20,0.4020067185163498
